reaction,lb,ub
12PPDt_f,0,1000
12PPDt_r,0,1000
15DAPt,0,1000
23DHMPO_f,0,1000
23DHMPO_r,0,1000
23PDE2,0,1000
23PDE4,0,1000
23PDE7,0,1000
23PDE9,0,1000
2AHBUTI_f,0,1000
2AHBUTI_r,0,1000
2DH3DGLCA_f,0,1000
2DH3DGLCA_r,0,1000
2MBCOATA_f,0,1000
2MBCOATA_r,0,1000
2OMMBOX,0,1000
2OMPHH,0,1000
3CARLPDH_f,0,1000
3CARLPDH_r,0,1000
3DGUR_f,0,1000
3DGUR_r,0,1000
3HACPR1,0,1000
3HACPR2,0,1000
3HAD100,0,1000
3HAD10M11,0,1000
3HAD10M12,0,1000
3HAD11M12,0,1000
3HAD120,0,1000
3HAD12M13,0,1000
3HAD12M14,0,1000
3HAD13M14,0,1000
3HAD140,0,1000
3HAD14M15,0,1000
3HAD14M16,0,1000
3HAD15M16,0,1000
3HAD160,0,1000
3HAD180,0,1000
3HAD40,0,1000
3HAD4M5,0,1000
3HAD4M6,0,1000
3HAD5M6,0,1000
3HAD60,0,1000
3HAD6M7,0,1000
3HAD6M8,0,1000
3HAD7M8,0,1000
3HAD80,0,1000
3HAD8M10,0,1000
3HAD8M9,0,1000
3HAD9M10,0,1000
3HBCOAE_f,0,1000
3HBCOAE_r,0,1000
3HCINNMH,0,1000
3HPPPNH,0,1000
3MOBS_f,0,1000
3MOBS_r,0,1000
3OAACPR1,0,1000
3OAACPR2,0,1000
3OAR100_f,0,1000
3OAR100_r,0,1000
3OAR10M11_f,0,1000
3OAR10M11_r,0,1000
3OAR10M12_f,0,1000
3OAR10M12_r,0,1000
3OAR11M12_f,0,1000
3OAR11M12_r,0,1000
3OAR120_f,0,1000
3OAR120_r,0,1000
3OAR12M13_f,0,1000
3OAR12M13_r,0,1000
3OAR12M14_f,0,1000
3OAR12M14_r,0,1000
3OAR13M14_f,0,1000
3OAR13M14_r,0,1000
3OAR140_f,0,1000
3OAR140_r,0,1000
3OAR14M15_f,0,1000
3OAR14M15_r,0,1000
3OAR14M16_f,0,1000
3OAR14M16_r,0,1000
3OAR15M16_f,0,1000
3OAR15M16_r,0,1000
3OAR160_f,0,1000
3OAR160_r,0,1000
3OAR180_f,0,1000
3OAR180_r,0,1000
3OAR40_f,0,1000
3OAR40_r,0,1000
3OAR4M5_f,0,1000
3OAR4M5_r,0,1000
3OAR4M6_f,0,1000
3OAR4M6_r,0,1000
3OAR5M6_f,0,1000
3OAR5M6_r,0,1000
3OAR60_f,0,1000
3OAR60_r,0,1000
3OAR6M7_f,0,1000
3OAR6M7_r,0,1000
3OAR6M8_f,0,1000
3OAR6M8_r,0,1000
3OAR7M8_f,0,1000
3OAR7M8_r,0,1000
3OAR80_f,0,1000
3OAR80_r,0,1000
3OAR8M10_f,0,1000
3OAR8M10_r,0,1000
3OAR8M9_f,0,1000
3OAR8M9_r,0,1000
3OAR9M10_f,0,1000
3OAR9M10_r,0,1000
3OAS100,0,1000
3OAS10M11,0,1000
3OAS10M12,0,1000
3OAS11M12,0,1000
3OAS120,0,1000
3OAS12M13,0,1000
3OAS12M14,0,1000
3OAS13M14,0,1000
3OAS140,0,1000
3OAS160,0,1000
3OAS180,0,1000
3OAS2M3,0,1000
3OAS3M4,0,1000
3OAS4M3O6,0,1000
3OAS4M5,0,1000
3OAS4M6,0,1000
3OAS5M6,0,1000
3OAS60,0,1000
3OAS6M7,0,1000
3OAS6M8,0,1000
3OAS7M8,0,1000
3OAS80,0,1000
3OAS8M10,0,1000
3OAS8M9,0,1000
3OAS9M10,0,1000
3OXCOAT,0,1000
4HBZt2_f,0,1000
4HBZt2_r,0,1000
4HOXPACDt2r_f,0,1000
4HOXPACDt2r_r,0,1000
4HTHRS,0,1000
4NTPPH2,0,1000
5AIZCDC,0,1000
5DGLCNR_f,0,1000
5DGLCNR_r,0,1000
5DOAN,0,1000
5GLUP5T1_f,0,1000
5GLUP5T1_r,0,1000
5GLUP5T2,0,1000
5MTHCYST_f,0,1000
5MTHCYST_r,0,1000
6PHBG,0,1000
6PHBG2,0,1000
7AHSDH_f,0,1000
7AHSDH_r,0,1000
7AHSDHe_f,0,1000
7AHSDHe_r,0,1000
A5PISO_f,0,1000
A5PISO_r,0,1000
AACPS7,0,1000
AACTOOR,0,1000
AADSACYCL,0,1000
AB6PGH,0,1000
AB6PGH2,0,1000
ABTAr_f,0,1000
ABTAr_r,0,1000
ABUTD,0,1000
ABUTt2,0,1000
ACACCTr_f,0,1000
ACACCTr_r,0,1000
ACACT1r_f,0,1000
ACACT1r_r,0,1000
ACACT2r_f,0,1000
ACACT2r_r,0,1000
ACACT3r_f,0,1000
ACACT3r_r,0,1000
ACACT4r_f,0,1000
ACACT4r_r,0,1000
ACACT5r_f,0,1000
ACACT5r_r,0,1000
ACACT6r_f,0,1000
ACACT6r_r,0,1000
ACACT7r_f,0,1000
ACACT7r_r,0,1000
ACACt2_f,0,1000
ACACt2_r,0,1000
ACALD_f,0,1000
ACALD_r,0,1000
ACALDt_f,0,1000
ACALDt_r,0,1000
ACBIPGT,0,1000
ACCOAC,0,1000
ACCOACL,0,1000
ACCOAL,0,1000
ACGALK3,0,1000
ACGALpts,0,1000
ACGALt2r_f,0,1000
ACGALt2r_r,0,1000
ACGAMT,0,1000
ACGApts,0,1000
ACGK,0,1000
ACGS,0,1000
ACHBPL_f,0,1000
ACHBPL_r,0,1000
ACKr_f,0,1000
ACKr_r,0,1000
ACLS_a,0,1000
ACLS_b_f,0,1000
ACLS_b_r,0,1000
ACNAMabc,0,1000
ACNAMt2r_f,0,1000
ACNAMt2r_r,0,1000
ACNML,0,1000
ACOAAGPAT140,0,1000
ACOAAGPAT160,0,1000
ACOAAGPAT180,0,1000
ACOAAGPATAI15,0,1000
ACOAAGPATAI17,0,1000
ACOAAGPATI14,0,1000
ACOAAGPATI15,0,1000
ACOAAGPATI16,0,1000
ACOAAGPATI17,0,1000
ACOAD1_f,0,1000
ACOAD1_r,0,1000
ACOAD1fi,0,1000
ACOAD2_f,0,1000
ACOAD2_r,0,1000
ACOAD20,0,1000
ACOAD3rev,0,1000
ACOAD4rev,0,1000
ACOAD5rev,0,1000
ACOAD6rev,0,1000
ACOAD7i,0,1000
ACOATA_f,0,1000
ACOATA_r,0,1000
ACOCT,0,1000
ACODAr_f,0,1000
ACODAr_r,0,1000
ACONMT,0,1000
ACONT_f,0,1000
ACONT_r,0,1000
ACONTa_f,0,1000
ACONTa_r,0,1000
ACONTb_f,0,1000
ACONTb_r,0,1000
ACOTA_f,0,1000
ACOTA_r,0,1000
ACPS1,0,1000
ACPpds,0,1000
ACS,0,1000
ACYP,0,1000
ACYP_2,0,1000
ACt2r_f,0,1000
ACt2r_r,0,1000
ADA,0,1000
ADCL,0,1000
ADCS,0,1000
ADD,0,1000
ADK1_f,0,1000
ADK1_r,0,1000
ADK10_f,0,1000
ADK10_r,0,1000
ADK11_f,0,1000
ADK11_r,0,1000
ADK2_f,0,1000
ADK2_r,0,1000
ADK3_f,0,1000
ADK3_r,0,1000
ADK5_f,0,1000
ADK5_r,0,1000
ADK7_f,0,1000
ADK7_r,0,1000
ADK8_f,0,1000
ADK8_r,0,1000
ADK9_f,0,1000
ADK9_r,0,1000
ADMDCr_f,0,1000
ADMDCr_r,0,1000
ADNCNT3tc_f,0,1000
ADNCNT3tc_r,0,1000
ADNCYC,0,1000
ADNUC,0,1000
ADOCBIK,0,1000
ADOCBIK2,0,1000
ADOCBLS,0,1000
ADOCBLabc,0,1000
ADPRDP,0,1000
ADPT,0,1000
ADSELK,0,1000
ADSK,0,1000
ADSL1r_f,0,1000
ADSL1r_r,0,1000
ADSL2r_f,0,1000
ADSL2r_r,0,1000
ADSS,0,1000
AGALASE_OGLYCAN10e,0,1000
AGALASE_OGLYCAN11e,0,1000
AGALASE_OGLYCAN12e,0,1000
AGALASE_OGLYCAN13e,0,1000
AGALASE_OGLYCAN14e,0,1000
AGALASE_OGLYCAN15e,0,1000
AGALASE_OGLYCAN16e,0,1000
AGALASE_OGLYCAN17e,0,1000
AGALASE_OGLYCAN18e,0,1000
AGALASE_OGLYCAN19e,0,1000
AGALASE_OGLYCAN1e,0,1000
AGALASE_OGLYCAN20e,0,1000
AGALASE_OGLYCAN21e,0,1000
AGALASE_OGLYCAN22e,0,1000
AGALASE_OGLYCAN23e,0,1000
AGALASE_OGLYCAN24e,0,1000
AGALASE_OGLYCAN25e,0,1000
AGALASE_OGLYCAN26e,0,1000
AGALASE_OGLYCAN27e,0,1000
AGALASE_OGLYCAN28e,0,1000
AGALASE_OGLYCAN29e,0,1000
AGALASE_OGLYCAN2e,0,1000
AGALASE_OGLYCAN30e,0,1000
AGALASE_OGLYCAN31e,0,1000
AGALASE_OGLYCAN32e,0,1000
AGALASE_OGLYCAN33e,0,1000
AGALASE_OGLYCAN34e,0,1000
AGALASE_OGLYCAN35e,0,1000
AGALASE_OGLYCAN36e,0,1000
AGALASE_OGLYCAN37e,0,1000
AGALASE_OGLYCAN38e,0,1000
AGALASE_OGLYCAN39e,0,1000
AGALASE_OGLYCAN3e,0,1000
AGALASE_OGLYCAN40e,0,1000
AGALASE_OGLYCAN41e,0,1000
